studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels
03.029.0265,Bankwesen,03.270.2740,Bankwesen,,
03.029.0266,Finanzverwaltung,03.270.2760,Finanzverwaltung,,
03.029.0268,Verkehrswesen,03.270.2830,Verkehrswesen,,
03.029.0269,Zoll- und Steuerverwaltung,03.270.2840,Zoll- und Steuerverwaltung,,
03.030,Wirtschaftswissenschaften,,,03.290,Wirtschaftswissenschaften
03.030.0011,Arbeitslehre/Wirtschaftslehre,,,,
03.030.0021,Betriebswirtschaftslehre,03.290.2960,Betriebswirtschaftslehre,,
03.030.0166,Sportmanagement/Sportökonomie,03.290.2925,Sportmanagement/Sportökonomie,,
03.030.0167,Europäische Wirtschaft,,,,
03.030.0175,Volkswirtschaftslehre,03.290.2930,Volkswirtschaftslehre,,
03.030.0181,Wirtschaftspädagogik,03.290.2910,Wirtschaftspädagogik,,
03.030.0182,Intern. Betriebswirtschaft/Management,,,,
03.030.0184,Wirtschaftswissenschaften,,,,
03.030.0210,Verkehrswirtschaft,03.290.2971,Verkehrswirtschaft,,
03.030.0274,Tourismuswirtschaft,03.290.2815,Tourismuswirtschaft,,
03.030.0304,Medienwirtschaft/Medienmanagement,03.290.2985,Medienwirtschaft/Medienmanagement,,
03.031,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,,,
03.031.0179,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,03.310.3100,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,
03.031.0464,Facility Management,03.310.3110,Facility Management,,
03.032,Psychologie,,,03.315,Psychologie
03.032.0132,Psychologie,,,,
03.033,Erziehungswissenschaften,,,03.320,Erziehungswissenschaften
03.033.0052,Erziehungswissenschaft (Pädagogik),,,,
03.033.0115,Grundschul-/Primarstufenpädagogik,,,,
03.033.0117,Ausländerpädagogik,,,,
03.033.0190,Sonderpädagogik,03.320.1806,Sonderpädagogik,,
03.033.0254,Sachunterricht (einschl. Schulgarten),,,,
03.033.0270,Berufs- und Wirtschaftspädagogik,03.320.1805,Berufs- und Wirtschaftspädagogik,,
03.033.0321,Erwachsenenbildung und außerschulische Jugendbildung,,,,
03.033.0361,Schulpädagogik,03.320.1827,Schulpädagogik,,
03.033.0365,Pädagogik der frühen Kindheit,03.320.1826,Pädagogik der frühen Kindheit,,
03.034,Kommunikationswissenschaft/Publizistik,,,,
03.034.0303,Kommunikationswissenschaft/Publizistik,03.325.2240,Kommunikationswissenschaft/Publizistik,,
04,"Mathematik, Naturwissenschaften",,,04,"Mathematik, Naturwissenschaften"
04.036,"Mathematik, Naturwissenschaften allgemein",,,04.330,"Mathematik, Naturwissenschaften allgemein"
04.036.0019,Orientierungsstudium MINT,,,,
04.036.0049,Interdisziplin. Studien (Schwerpunkt Naturwissenschaften),04.330.3320,Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),,
04.036.0186,Lernbereich Naturwissenschaft/Sachunterricht,,,,
04.036.0312,Statistik,04.330.3330,Statistik,,
04.037,Mathematik,,,04.340,Mathematik
04.037.0105,Mathematik,,,,
04.037.0118,Technomathematik,,,,
04.037.0276,Wirtschaftsmathematik,03.290.2936,Wirtschaftsmathematik,,
04.039,"Physik, Astronomie",,,04.360,"Physik, Astronomie"
04.039.0014,Astrophysik und Astronomie,04.360.3690,Astrophysik und Astronomie,,
04.039.0128,Physik,,,,
04.040,Chemie,,,04.370,Chemie
04.040.0025,Biochemie,,,,
04.040.0032,Chemie,,,,
04.040.0096,Lebensmittelchemie,04.370.3810,Lebensmittelchemie,,
04.041,Pharmazie,,,04.390,Pharmazie
04.041.0126,Pharmazie,,,,
04.042,Biologie,,,04.400,Biologie
04.042.0009,Anthropologie (Humanbiologie),04.400.4060,Anthropologie (Humanbiologie),,
04.042.0026,Biologie,,,,
04.042.0282,Biotechnologie,,,,
04.042.0300,Biomedizin,,,,
04.043,Geowissenschaften (ohne Geographie),,,04.410,Geowissenschaften (ohne Geographie)
04.043.0039,Geowissenschaften allgemein,04.410.4100,Geowissenschaften allgemein,,
04.043.0065,Geologie/Paläontologie,,,,
04.043.0066,Geophysik,04.410.4150,Geophysik,,
04.043.0110,Meteorologie,04.410.4160,Meteorologie,,
04.043.0111,Mineralogie,04.410.4130,Mineralogie,,
04.043.0124,Ozeanographie,04.410.4135,Ozeanographie,,
04.043.0385,Geoökologie,04.410.4190,Geoökologie,,
04.044,Geographie,,,04.420,Geographie
04.044.0050,Geographie/Erdkunde,,,,
04.044.0178,Wirtschafts-/Sozialgeographie,,,,
04.044.0283,Landschaftsökologie/Biogeographie,04.420.4240,Landschaftsökologie/Biogeographie,,
05,Humanmedizin/Gesundheitswissenschaften,,,05,Humanmedizin/Gesundheitswissenschaften
05.048,Gesundheitswissenschaften allgemein,,,,
05.048.0195,Gesundheitspädagogik,05.445.4451,Gesundheitspädagogik,,
05.048.0232,Gesundheitswissenschaften/-management,05.445.4453,Gesundheitswissenschaft/-management,,
