studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels,related_match_personal_ids , related_match_personal_labels, Bemerkungen,Nachweis zu Bemerkungen
12.030.0011,Arbeitslehre/Wirtschaftslehre,03.290.3010,Arbeitslehre/-wissenschaft,,,,,abweichender Begriff
12.030.0021,Betriebswirtschaftslehre,03.290.2960,Betriebswirtschaftslehre,,,
12.030.0166,Sportmanagement/Sportökonomie,03.290.2925,Sportmanagement/Sportökonomie,,,
12.030.0167,Europäische Wirtschaft,,,,,,,no match
12.030.0175,Volkswirtschaftslehre,03.290.2930,Volkswirtschaftslehre,,,
12.030.0181,Wirtschaftspädagogik,03.290.2910,Wirtschaftspädagogik,,,
12.030.0182,Intern. Betriebswirtschaft/Management,03.290.2966,Internationale Wirtschaft,,,,,abweichender Begriff/Minus
12.030.0184,Wirtschaftswissenschaften,03.290.2900,Wirtschaftswissenschaften allgemein,,,,,abweichender Begriff/Plus
12.030.0210,Verkehrswirtschaft,03.290.2971,Verkehrswirtschaft,,,
12.030.0274,Tourismuswirtschaft,03.290.2815,Tourismuswirtschaft,,,
12.030.0304,Medienwirtschaft/Medienmanagement,03.290.2985,Medienwirtschaft/Medienmanagement,,,
12.031,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,,,,
12.031.0179,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,03.310.3100,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,,
12.031.0464,Facility Management,03.310.3110,Facility Management,,,
13.032,Psychologie,,,3315,Psychologie,
03.032.0132,Psychologie,03.315.1700,Psychologie allgemein,,,,,abweichender Begriff/Minus
13.033,Erziehungswissenschaften,,,3320,Erziehungswissenschaften,
13.033.0052,Erziehungswissenschaft (Pädagogik),03.320.1800,Erziehungswissenschaften allgemein,,,,,abweichender Begriff
13.033.0115,Grundschul-/Primarstufenpädagogik,03.320.1803,Grundschul- und Primarstufenpädagogik,,,
13.033.0117,Ausländerpädagogik,,,,,,,no match
13.033.0190,Sonderpädagogik,03.320.1806,Sonderpädagogik,,,
13.033.0254,Sachunterricht (einschl. Schulgarten),,,,,,,no match
13.033.0270,Berufs- und Wirtschaftspädagogik,03.320.1805,Berufs- und Wirtschaftspädagogik,,,
13.033.0321,Erwachsenenbildung und außerschulische Jugendbildung,03.320.1803,Erwachsenenbildung,,,,,abweichender Begriff/Minus
13.033.0361,Schulpädagogik,03.320.1827,Schulpädagogik,,,
13.033.0365,Kindheitspädagogik,03.320.1826,Pädagogik der frühen Kindheit,,,
13.034,Kommunikationswissenschaft/Publizistik,,,,,
13.034.0303,Kommunikationswissenschaft/Publizistik,03.325.2240,Kommunikationswissenschaft/Publizistik,,,
04,"Mathematik, Naturwissenschaften",,,4,"Mathematik, Naturwissenschaften",
04.036,"Mathematik, Naturwissenschaften allgemein",,,4330,"Mathematik, Naturwissenschaften allgemein",
04.036.0019,Orientierungsstudium MINT,,,,,
04.036.0049,Interdisziplin. Studien (Schwerpunkt Naturwissenschaften),04.330.3320,Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),,,
04.036.0186,Lernbereich Naturwissenschaft/Sachunterricht,04.330.3315,"Naturwissenschaftliche Fachdidaktiken, soweit nicht aufteilbar",,,,,abweichender Begriff/Plus
04.036.0312,Statistik,04.330.3330,Statistik,,,
04.037,Mathematik,,,4340,Mathematik,
